momento_hecho,edad,sexo,clase_victima,vehiculo_victima,tipo_via,tipo_incidente,clima,fatal
Diurno,68,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,60,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,67,Masculino,Conductor,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,1,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,56,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,2,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,49,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,56,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,56,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,23,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Nublado,1
Nocturno,31,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,48,Femenino,Pasajero,Motocicleta,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,65,Masculino,Conductor,Camioneta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,93,Masculino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Bueno,1
Nocturno,37,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,16,Masculino,Conductor,Otro,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,14,Masculino,Pasajero,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,61,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,63,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,28,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,34,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,29,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,7,Masculino,Pasajero,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
