momento_hecho,edad,sexo,clase_victima,vehiculo_victima,tipo_via,tipo_incidente,clima,fatal
Diurno,36,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,31,Masculino,Conductor,Bicicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,34,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,20,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,50,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,36,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,42,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,4,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,48,Femenino,Conductor,Automovil,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,16,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Diurno,20,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Lluvia,0
Nocturno,27,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Lluvia,0
Nocturno,19,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Otro,0
Nocturno,73,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Otro,0
Nocturno,18,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,0
Nocturno,25,Masculino,Conductor,Bicicleta,Calle,Colision vehiculo/Vehiculo,Lluvia,0
Nocturno,18,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Lluvia,0
Diurno,8,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Diurno,32,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Niebla,0
Diurno,6,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Niebla,0
Diurno,48,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,69,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,24,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,28,Femenino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,53,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,51,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,82,Masculino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,71,Femenino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,25,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,40,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,41,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,0
Nocturno,54,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,15,Femenino,Peaton,Colectivo,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,6,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Nocturno,71,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,56,Masculino,Pasajero,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,22,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,20,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,19,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,20,Masculino,Peaton,Automovil,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Nocturno,24,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Otro,0
Diurno,45,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,0
Diurno,1,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,0
Diurno,69,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,0
Diurno,24,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,41,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,21,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,23,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,20,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,20,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,19,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,19,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,42,Femenino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,50,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,49,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,56,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Objeto-Vuelco,Niebla,0
Diurno,40,Femenino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,3,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,21,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,31,Femenino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,21,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,19,Masculino,Conductor,Camioneta,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,13,Masculino,Peaton,Automovil,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Diurno,28,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,20,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Nocturno,20,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,35,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,35,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,35,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,11,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,57,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,22,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,27,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,37,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Lluvia,0
Diurno,34,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,38,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,36,Femenino,Peaton,Automovil,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Nocturno,38,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,82,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,62,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,62,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,10,Masculino,Peaton,Automovil,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Diurno,42,Femenino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,28,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,68,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,6,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,44,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,18,Masculino,Peaton,Automovil,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Diurno,37,Femenino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,34,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,16,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,34,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,5,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,24,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,26,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,23,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,25,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,12,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,62,Femenino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,18,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,35,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,34,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,9,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,72,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,82,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,31,Femenino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,4,Masculino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,14,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,39,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,53,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,24,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,54,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,46,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,29,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Nocturno,28,Masculino,Conductor,Automovil,Autopista nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Nocturno,49,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,38,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,63,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,19,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Lluvia,0
Nocturno,53,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,21,Masculino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,57,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Nocturno,22,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,81,Femenino,Pasajero,Colectivo,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,41,Masculino,Conductor,Colectivo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,45,Femenino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,26,Femenino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,30,Femenino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,12,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,51,Masculino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,32,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,28,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,45,Femenino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,33,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,22,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,87,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Ventoso,0
Diurno,16,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,59,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,28,Femenino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,41,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,38,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,33,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,35,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,34,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,28,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,38,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,21,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,24,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Ventoso,1
Nocturno,60,Masculino,Conductor,Camioneta,Calle,Colision vehiculo/Vehiculo,Ventoso,0
Diurno,43,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,46,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,22,Femenino,Peaton,Camion,Calle,Colision vehiculo/Persona,Lluvia,0
Diurno,35,Masculino,Peaton,Camion,Calle,Colision vehiculo/Persona,Lluvia,1
Diurno,41,Masculino,Conductor,Bicicleta,Calle,Colision vehiculo/Vehiculo,Ventoso,0
Diurno,40,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,39,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,13,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,59,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Diurno,21,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,30,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,18,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,42,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,17,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,19,Femenino,Pasajero,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,31,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,53,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,27,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,16,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Lluvia,0
Diurno,57,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,31,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,77,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,65,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,67,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,40,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Nocturno,18,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,16,Femenino,Pasajero,Camioneta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,17,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,17,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,18,Masculino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,22,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,29,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,27,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,44,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,22,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,41,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Niebla,0
Diurno,55,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Niebla,0
Nocturno,59,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,79,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Niebla,0
Nocturno,24,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Lluvia,0
Nocturno,46,Masculino,Conductor,Camioneta,Autopista nacional,Colision vehiculo/Objeto-Vuelco,Niebla,0
Diurno,37,Femenino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,10,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,77,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Nocturno,30,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,26,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,16,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,26,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,23,Masculino,Peaton,Colectivo,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Diurno,19,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,13,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,25,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,2,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,20,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,1,Masculino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,52,Femenino,Peaton,Camioneta,Ruta nacional,Colision vehiculo/Persona,Bueno,0
Diurno,18,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,21,Masculino,Conductor,Automovil,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,20,Femenino,Conductor,Automovil,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,48,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Nocturno,42,Masculino,Conductor,Automovil,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,0
Nocturno,13,Femenino,Pasajero,Automovil,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,0
Nocturno,5,Femenino,Pasajero,Automovil,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,22,Femenino,Pasajero,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,22,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,20,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,27,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,48,Masculino,Conductor,Bicicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,17,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,21,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,26,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,29,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,26,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,40,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,40,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,32,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,23,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,31,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,18,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,36,Masculino,Peaton,Motocicleta,Calle,Colision vehiculo/Persona,Bueno,0
Nocturno,20,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,28,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Nocturno,23,Femenino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,33,Femenino,Conductor,Bicicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,22,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,32,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,27,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,13,Masculino,Peaton,Colectivo,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,50,Masculino,Pasajero,Colectivo,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,56,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,50,Femenino,Pasajero,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,43,Femenino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Diurno,60,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,29,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,71,Masculino,Conductor,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,6,Masculino,Peaton,Colectivo,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,13,Femenino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,32,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,10,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Diurno,38,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,78,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,0
Diurno,53,Masculino,Conductor,Camioneta,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,44,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,39,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,40,Femenino,Conductor,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,31,Femenino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,5,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,16,Masculino,Pasajero,Automovil,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,0
Diurno,66,Femenino,Pasajero,Colectivo,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,56,Masculino,Peaton,Automovil,Ruta provincial,Colision vehiculo/Persona,Bueno,0
Nocturno,30,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,4,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Vehiculo,Bueno,0
Diurno,11,Masculino,Peaton,Automovil,Calle,Colision vehiculo/Persona,Bueno,0
Diurno,18,Masculino,Peaton,Motocicleta,Calle,Colision vehiculo/Persona,Bueno,0
Nocturno,22,Masculino,Conductor,Bicicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,18,Masculino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
Diurno,21,Femenino,Conductor,Automovil,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,0
